numero,titre
1,"Ballon dOr"
2,"The Best Joueur de la FIFA"
3,"Soulier dOr Europeen"
4,"Prix Puskas de la FIFA"
5,"Meilleur joueur UEFA"
6,"Golden Boy"
7,"Meilleur joueur de la Coupe du Monde FIFA"
8,"Gant dOr de la Coupe du Monde FIFA"
9,"Trophee Kopa"
10,"Onze dOr"
11,"Prix du Joueur de lAnnee PFA"
12,"Prix du Joueur de lAnnee FWA"
13,"Joueur africain de lannee CAF"
14,"Meilleur joueur sud-americain de lannee"
15,"Trophee Bravo"
16,"Trophee Alfredo Di Stefano"
17,"Joueur de lannee UEFA par poste"
18,"Meilleur buteur dune competition"
19,"Prix Golden Foot"
