numero,num_tblPersonnes,num_tblClubs,dateArrive,dateFin
1,1,1,2000,2021
2,1,2,2021,2023
3,1,3,2023,
4,2,4,2002,2003
5,2,5,2003,2009
6,2,6,2009,2018
7,2,7,2018,2021
8,2,5,2021,2022
9,2,8,2023,
10,3,9,2015,2017
11,3,2,2017,
12,4,10,2009,2013
13,4,1,2013,2017
14,4,2,2017,2023
15,4,8,2023,
16,5,11,2008,2012
17,5,22,2012,2014
18,5,12,2012,2013
19,5,13,2014,2015
20,5,18,2015,
21,6,14,2006,2008
22,6,15,2008,2010
23,6,16,2010,2014
24,6,16,2014,2022
25,6,1,2022,
26,7,17,2011,2013
27,7,17,2013,2015
28,7,18,2015,2018
29,7,19,2018,
30,8,20,2004,2005
31,8,6,2005,2021
32,8,2,2021,2023
33,8,20,2023,
34,9,21,2010,2012
35,9,21,2012,2014
36,9,22,2014,2016
37,9,23,2015,2016
38,9,24,2016,2017
39,9,19,2017,
40,10,25,2004,2009
41,10,6,2009,2023
42,10,26,2023,
